keyword,include,except
지하수,지하수<or>암반수,"""생수""<or>""천연""<or>""매매""<or>""투어""<or>""여행""<or>""관광""<or>""드라이브""<or>""맛집""<or>""펜션""<or>""전원주택"""
하천,"""하천수질""<or>""수질오염""<or>""유역오염""<or>""물오염""<or>""하천유량""<or>""하천정비""<or>""하천""<or>""개천""<or>""도랑""<or>""개울""<or>""한강""<or>""영산강""<or>""낙동강""<or>""금강""<or>""4대강""<or>""이포보""<or>""여주보""<or>""강천보""<or>""함안창녕보""<or>""창녕합천보""<or>""달성보""<or>""강정고령보""<or>""칠곡보""","""매매""<or>""투어""<or>""여행""<or>""관광""<or>""드라이브""<or>""맛집""<or>""펜션""<or>""전원주택""<or>""업체""<or>""가볼만한곳"""
하천,"""충주댐""<or>""횡성댐""<or>""안동댐""<or>""임하댐""<or>""합천댐""<or>""남강댐""<or>""밀양댐""<or>""군위댐""<or>""부항댐""<or>""대청댐""<or>""용담댐""<or>""섬진강댐""<or>""주암댐""<or>""부안댐""<or>""보령댐""<or>""장흥댐""<or>""영주댐""<or>""청평댐""<or>""화천댐""<or>""괴산댐""<or>""춘천댐""<or>""의암댐""<or>""팔당댐""<or>""도암댐""<or>""보성강댐""","""매매""<or>""투어""<or>""여행""<or>""관광""<or>""드라이브""<or>""맛집""<or>""펜션""<or>""전원주택""<or>""업체""<or>""가볼만한곳"""
하천,"""승촌보""<or>""소양강댐""<or>""하천환경""<or>""하천관리""<or>구미보<or>""낙단보""<or>""상주보""<or>""백제보""<or>""공주보""<or>""세종보""<or>""죽산보""","""매매""<or>""투어""<or>""여행""<or>""관광""<or>""드라이브""<or>""맛집""<or>""펜션""<or>""전원주택""<or>""업체""<or>""가볼만한곳"""
호소,"""호수""<or>(""늪"")<or>""저수지""<or>""소택""<or>""습원""<or>""담수호""<or>""민물호수""<or>""담호""","""매매""<or>""투어""<or>""여행""<or>""관광""<or>""드라이브""<or>""맛집""<or>""펜션""<or>""전원주택""<or>""업체""<or>""가볼만한곳"""
상수도,"상수도<or>""수돗물""<or>""상수관""<or>""상하수도""","""제품""<or>""필터""<or>""미국""<or>""매매""<or>""투어""<or>""여행""<or>""관광""<or>""드라이브""<or>""맛집""<or>""펜션"""
하수도,"하수도<or>""하수처리""<or>""하수관""<or>""상하수도""","""매매""<or>""투어""<or>""여행""<or>""관광""<or>""드라이브""<or>""맛집""<or>""펜션""<or>""전원주택""<or>""업체""<or>""고객"""
물재난,"""홍수""<or>""폭우""<or>""집중호우""<or>""하천범람""","""매매""<or>""투어""<or>""여행""<or>""관광""<or>""드라이브""<or>""맛집""<or>""펜션""<or>""전원주택""<or>""업체""<or>""가볼만한곳"""
대기,"""대기환경""<or>미세먼지<or>""미먼""<or>황사<or>""대기오염""<or>""대기 배출""<or>""도로 재비산 먼지""<or>""자동차 배출가스""<or>""실내공기질""<or>""공기오염""<or>매연<or>스모그<or>오존<or>""부유먼지""<or>""초미세먼지""<or>""황산화물""<or>""질소산화물""","""매매""<or>""투어""<or>""여행""<or>""관광""<or>""드라이브""<or>""맛집""<or>""펜션""<or>""전원주택""<or>""업체""<or>""가볼만한곳"""
폐기물,"(음식물<and>폐기물)<or>(분뇨<and>폐기물)<or>(사업장<and>폐기물)<or>(생활<and>폐기물)<or>(건설<and>폐기물)<or>(자동차<and>폐기물)<or>(지정<and>폐기물)<or>(전기<and>폐기물)<or>(전자<and>폐기물)<or>(매립<and>폐기물)<or>(소각<and>폐기물)<or>(재활용<and>폐기물)<or>(""해역배출""<and>폐기물)","""매매""<or>""투어""<or>""여행""<or>""관광""<or>""드라이브""<or>""맛집""<or>""펜션""<or>""전원주택""<or>""업체""<or>""가볼만한곳"""
폐기물,"(가연성<and>폐기물)<or>(불연성<and>폐기물)<or>(비가연성<and>폐기물)<or>(플라스틱<and>폐기물)<or>(생활<and>폐기물)<or>(폐기물<and>처리)<or>""재활용쓰레기""<or>""음식물쓰레기""","""매매""<or>""투어""<or>""여행""<or>""관광""<or>""드라이브""<or>""맛집""<or>""펜션""<or>""전원주택""<or>""업체""<or>""가볼만한곳"""
